time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,gameIsPaused,trialEvent
1350.14,393.2493,0.63,361.5312,0,65.25,0,False,1
1350.152,377.0381,0.6,312.7852,0,324,0,False,0
1350.201,377.0381,0.6,312.7852,0,324,0,False,0
1350.213,377.0381,0.6,312.7852,0,324,0,False,0
1350.224,377.0381,0.6,312.7852,0,324,0,False,0
1350.241,377.0381,0.6,312.7852,0,324,0,False,0
1350.243,377.0381,0.6,312.7852,0,324,0,False,0
1350.245,377.0381,0.6,312.7852,0,324,0,False,0
1350.255,377.0381,0.6,312.7852,0,324,0,False,0
1350.264,377.0381,0.6,312.7852,0,324,0,False,0
1350.273,377.0381,0.6,312.7852,0,324,0,False,0
1350.285,377.0381,0.6,312.7852,0,324,0,False,0
1350.292,377.0381,0.6,312.7852,0,324,0,False,0
1350.303,377.0381,0.6,312.7852,0,324,0,False,0
1350.313,377.0381,0.6,312.7852,0,324,0,False,0
1350.322,377.0381,0.6,312.7852,0,324,0,False,0
1350.333,377.0381,0.6,312.7852,0,324,0,False,0
1350.341,377.0381,0.6,312.7852,0,324,0,False,0
1350.352,377.0381,0.6,312.7852,0,324,0,False,0
1350.36,377.0381,0.6,312.7852,0,324,0,False,0
1350.371,377.0381,0.6,312.7852,0,324,0,False,0
1350.38,377.0381,0.6,312.7852,0,324,0,False,0
1350.39,377.0381,0.6,312.7852,0,324,0,False,0
1350.402,377.0381,0.6,312.7852,0,324,0,False,0
1350.41,377.0381,0.6,312.7852,0,324,0,False,0
1350.421,377.0381,0.6,312.7852,0,324,0,False,0
1350.431,377.0381,0.6,312.7852,0,324,0,False,0
1350.44,377.0381,0.6,312.7852,0,324,0,False,0
1350.451,377.0381,0.6,312.7852,0,324,0,False,0
1350.459,377.0381,0.6,312.7852,0,324,0,False,0
1350.471,377.0381,0.6,312.7852,0,324,0,False,0
1350.479,377.0381,0.6,312.7852,0,324,0,False,0
1350.491,377.0381,0.6,312.7852,0,324,0,False,0
1350.502,377.0381,0.6,312.7852,0,324,0,False,0
1350.509,377.0381,0.6,312.7852,0,324,0,False,0
1350.521,377.0381,0.6,312.7852,0,324,0,False,0
1350.533,377.0381,0.6,312.7852,0,324,0,False,0
1350.541,377.0381,0.6,312.7852,0,324,0,False,0
1350.553,377.0381,0.6,312.7852,0,324,0,False,0
1350.562,377.0381,0.6,312.7852,0,324,0,False,0
1350.573,377.0381,0.6,312.7852,0,324,0,False,0
1350.583,377.0381,0.6,312.7852,0,324,0,False,0
