directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,trial_type,trial_feedback,success,goal,paused,trackedpoint_movement_filename
WP6_1_A/6330/S001,WP6_1_A,6330,1,1,1,1,70.22052,135.0154,training,true,True,Trigger_F(E)_GoalInvisible,False,trackedpoint_movement_T001.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,2,1,2,139.0258,181.0096,training,true,True,Trigger_F(E)_GoalInvisible,False,trackedpoint_movement_T002.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,3,1,3,185.0201,212.8142,training,true,True,Trigger_F(E)_GoalInvisible,False,trackedpoint_movement_T003.csv

WP6_1_A/6330/S001,WP6_1_A,6330,1,5,1,5,216.8204,242.8089,training,true,True,Trigger_F(E)_GoalInvisible,False,trackedpoint_movement_T005.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,6,1,6,246.8101,272.4528,training,true,True,Trigger_F(E)_GoalInvisible,False,trackedpoint_movement_T006.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,7,1,7,276.462,316.1735,training,false,True,Trigger_noF(E),False,trackedpoint_movement_T007.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,8,1,8,316.1735,341.9152,training,true,True,Trigger_F(E)_GoalInvisible,False,trackedpoint_movement_T008.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,9,1,9,345.9288,371.552,training,true,True,Trigger_F(E)_GoalInvisible,False,trackedpoint_movement_T009.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,10,1,10,375.56,401.2312,training,false,True,Trigger_noF(E),False,trackedpoint_movement_T010.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,11,2,1,401.2312,432.4121,probe_ego,false,True,Trigger_noF(E),False,trackedpoint_movement_T011.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,12,2,2,432.4121,455.6521,probe_ego,true,True,Trigger_F(E)_GoalInvisible,False,trackedpoint_movement_T012.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,13,2,3,459.6552,483.3313,probe_ego,true,True,Trigger_F(E)_GoalInvisible,False,trackedpoint_movement_T013.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,14,2,4,487.3389,513.7111,probe_ego,false,True,Trigger_noF(E),False,trackedpoint_movement_T014.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,15,3,1,513.7111,542.6672,probe_allo_startG,false,False,none,False,trackedpoint_movement_T015.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,16,3,2,542.6672,620.7526,probe_allo_startG,true,True,Trigger_F(E)_GoalInvisible,False,trackedpoint_movement_T016.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,17,3,3,624.7587,653.184,probe_allo_startG,false,False,none,False,trackedpoint_movement_T017.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,18,4,1,653.184,687.9688,probe_allo_startC,false,False,none,False,trackedpoint_movement_T018.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,19,4,2,687.9688,728.1313,probe_allo_startI,false,True,Trigger_noF(E),False,trackedpoint_movement_T019.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,20,4,3,728.1313,818.1369,probe_allo_startC,true,False,Timeout,False,trackedpoint_movement_T020.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,21,4,4,818.1369,844.0508,training,true,True,Trigger_F(E)_GoalInvisible,False,trackedpoint_movement_T021.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,22,4,5,848.0522,878.6578,probe_allo_startI,true,True,Trigger_F(E)_GoalInvisible,False,trackedpoint_movement_T022.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,23,4,6,882.6685,972.6687,probe_allo_startG,true,False,Timeout,False,trackedpoint_movement_T023.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,24,4,7,972.6687,1062.678,probe_allo_startI,true,False,Timeout,False,trackedpoint_movement_T024.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,25,4,8,1062.678,1106.632,probe_allo_startC,true,True,Trigger_F(E)_GoalInvisible,False,trackedpoint_movement_T025.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,26,4,9,1110.644,1199.258,probe_allo_startG,true,True,Trigger_F(E)_GoalInvisible,False,trackedpoint_movement_T026.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,27,4,10,1203.267,1257.394,training,true,True,Trigger_F(E)_GoalInvisible,False,trackedpoint_movement_T027.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,28,4,11,1261.407,1291.038,probe_allo_startC,false,False,none,False,trackedpoint_movement_T028.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,29,4,12,1291.038,1322.574,probe_allo_startG,false,False,none,False,trackedpoint_movement_T029.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,30,4,13,1322.574,1350.14,probe_allo_startI,false,False,none,False,trackedpoint_movement_T030.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,31,4,14,1350.14,1370.059,probe_allo_startE,false,False,none,False,trackedpoint_movement_T031.csv
WP6_1_A/6330/S001,WP6_1_A,6330,1,32,4,15,1370.059,1396.36,training,false,True,Trigger_noF(E),False,trackedpoint_movement_T032.csv
